id;uni_name;uni_loc;uni_contact;city
1;Intuitive indexing;bi-directional e-business;convergence well-modulated red;East Samirfort
2;mobile;Point;Hawaii;Thelmaside
3;withdrawal;calculate Open-architected THX;cross-platform;East Vernon
4;Down-sized circuit transmitting;Organic e-business;HTTP array Shoes;Breannefurt
5;backing up;tan Intelligent Refined;initiatives haptic;South Tillman
6;repurpose Designer virtual;Supervisor compressing;object-oriented;West Colbyhaven
7;Denar Steel payment;approach magenta;Branding partnerships;Amelieshire
8;neural;Polarised;payment open-source;Port Rocio
9;Incredible Soft Sausages Internal;Keyboard efficient Tuna;Awesome Gorgeous Tasty Fresh Sausages;Kearastad
10;array SMTP;plum Toys;Legacy;Lake Lew
